"","Project_name","Station_ID","UTM_X","UTM_Y","Subpop","occasion","effort","Species2","Animal_ID"
"1","Bonaparte","B-01-03a",1355695.46845602,684699.465231314,"Cariboo",1,26,"NULL",NA
"2","Bonaparte","B-01-03a",1355695.46845602,684699.465231314,"Cariboo",2,20,"Pekania pennanti",NA
"3","Bonaparte","B-01-03a",1355695.46845602,684699.465231314,"Cariboo",3,21,"NULL",NA
"4","Bonaparte","B-01-03a",1355695.46845602,684699.465231314,"Cariboo",4,22,"NULL",NA
"5","Bonaparte","B-01-04a",1357308.02803726,684364.711482271,"Cariboo",1,26,"NULL",NA
"6","Bonaparte","B-01-04a",1357308.02803726,684364.711482271,"Cariboo",2,18,"NULL",NA
"7","Bonaparte","B-01-04a",1357308.02803726,684364.711482271,"Cariboo",3,23,"NULL",NA
"8","Bonaparte","B-01-04a",1357308.02803726,684364.711482271,"Cariboo",4,20,"NULL",NA
"9","Bonaparte","B-02-03a",1355713.61992347,688479.597189936,"Cariboo",1,29,"NULL",NA
"10","Bonaparte","B-02-03a",1355713.61992347,688479.597189936,"Cariboo",2,20,"NULL",NA
"11","Bonaparte","B-02-03a",1355713.61992347,688479.597189936,"Cariboo",3,21,"NULL",NA
"12","Bonaparte","B-02-03b",1355251.06623097,687392.121130551,"Cariboo",1,22,"NULL",NA
"13","Bonaparte","B-02-04a",1358186.65401895,689667.519762994,"Cariboo",1,26,"NULL",NA
"14","Bonaparte","B-02-04a",1358186.65401895,689667.519762994,"Cariboo",2,18,"NULL",NA
"15","Bonaparte","B-02-04a",1358186.65401895,689667.519762994,"Cariboo",3,23,"NULL",NA
"16","Bonaparte","B-02-04a",1358186.65401895,689667.519762994,"Cariboo",4,20,"NULL",NA
"17","Bonaparte","B-02-05a",1363726.50871319,690530.905837448,"Cariboo",1,25,"NULL",NA
"18","Bonaparte","B-02-05a",1363726.50871319,690530.905837448,"Cariboo",2,20,"NULL",NA
"19","Bonaparte","B-02-05a",1363726.50871319,690530.905837448,"Cariboo",3,21,"NULL",NA
"20","Bonaparte","B-02-05b",1363579.48411048,689203.598025063,"Cariboo",1,20,"NULL",NA
"21","Bonaparte","B-02-06a",1366974.92377854,687058.448141539,"Cariboo",1,24,"NULL",NA
"22","Bonaparte","B-02-06a",1366974.92377854,687058.448141539,"Cariboo",2,20,"NULL",NA
"23","Bonaparte","B-02-06a",1366974.92377854,687058.448141539,"Cariboo",3,21,"NULL",NA
"24","Bonaparte","B-02-06a",1366974.92377854,687058.448141539,"Cariboo",4,22,"NULL",NA
"25","Bonaparte","B-02-07a",1372111.83258306,688513.964193276,"Cariboo",1,24,"NULL",NA
"26","Bonaparte","B-02-07a",1372111.83258306,688513.964193276,"Cariboo",2,20,"NULL",NA
"27","Bonaparte","B-02-07a",1372111.83258306,688513.964193276,"Cariboo",3,21,"NULL",NA
"28","Bonaparte","B-02-07a",1372111.83258306,688513.964193276,"Cariboo",4,22,"NULL",NA
